x_cm,y_cm,reachable,state_class,left_solution_count,right_solution_count,combo_count,sample_branch,left_theta1_deg,left_theta2_deg,right_theta1_deg,right_theta2_deg
0.0,0.0,0,0,2,0,0,none,,,,
1.0,0.0,0,0,2,0,0,none,,,,
2.0,0.0,0,0,2,0,0,none,,,,
3.0,0.0,0,0,2,0,0,none,,,,
4.0,0.0,0,0,2,0,0,none,,,,
5.0,0.0,0,0,2,0,0,none,,,,
6.0,0.0,0,0,2,0,0,none,,,,
7.0,0.0,0,0,2,0,0,none,,,,
8.0,0.0,0,0,2,0,0,none,,,,
9.0,0.0,0,0,2,0,0,none,,,,
10.0,0.0,0,0,2,0,0,none,,,,
11.0,0.0,1,3,2,2,4,L_up-R_up,-127.48,94.812,-148.888,23.636
12.0,0.0,1,3,2,2,4,L_up-R_up,-124.215,93.791,-153.025,34.636
13.0,0.0,1,3,2,2,4,L_up-R_up,-120.881,92.515,-155.668,42.787
14.0,0.0,1,3,2,2,4,L_up-R_up,-117.489,90.987,-157.519,49.5
15.0,0.0,1,3,2,2,4,L_up-R_up,-114.046,89.204,-158.83,55.289
16.0,0.0,1,3,2,2,4,L_up-R_up,-110.557,87.166,-159.724,60.403
17.0,0.0,1,3,2,2,4,L_up-R_up,-107.026,84.868,-160.271,64.99
18.0,0.0,1,3,2,2,4,L_up-R_up,-103.453,82.306,-160.511,69.138
19.0,0.0,1,3,2,2,4,L_up-R_up,-99.835,79.468,-160.474,72.909
20.0,0.0,1,3,2,2,4,L_up-R_up,-96.166,76.343,-160.177,76.343
21.0,0.0,1,3,2,2,4,L_up-R_up,-92.435,72.909,-159.633,79.468
22.0,0.0,1,3,2,2,4,L_up-R_up,-88.627,69.138,-158.852,82.306
23.0,0.0,1,3,2,2,4,L_up-R_up,-84.719,64.99,-157.842,84.868
24.0,0.0,1,3,2,2,4,L_up-R_up,-80.679,60.403,-156.608,87.166
25.0,0.0,1,3,2,2,4,L_up-R_up,-76.458,55.289,-155.158,89.204
26.0,0.0,1,3,2,2,4,L_up-R_up,-71.981,49.5,-153.498,90.987
27.0,0.0,1,3,2,2,4,L_up-R_up,-67.119,42.787,-151.634,92.515
28.0,0.0,1,3,2,2,4,L_up-R_up,-61.611,34.636,-149.576,93.791
29.0,0.0,1,3,2,2,4,L_up-R_up,-54.748,23.636,-147.332,94.812
